Address,Lat,Long,Nearest MRT,Distance to MRT,Nearest Mall,Distance to Mall,Nearest Pri Sch,Within 1km of Pri
406 ANG MO KIO AVE 10,1.362004539,103.8538799,Ang Mo Kio MRT,1148,AMK Hub,1276,Teck Ghee Primary School,TRUE
108 ANG MO KIO AVE 4,1.370966352,103.8382019,Mayflower MRT,268,Jubilee Square,1612,CHIJ St. Nicholas Girls' School,TRUE
602 ANG MO KIO AVE 5,1.38070883,103.8353682,Lentor MRT,795,Jubilee Square,2278,Anderson Primary School,TRUE
465 ANG MO KIO AVE 10,1.366201041,103.857201,Ang Mo Kio MRT,1186,AMK Hub,1333,Teck Ghee Primary School,TRUE
601 ANG MO KIO AVE 5,1.381041348,103.8351317,Lentor MRT,735,Jubilee Square,2323,Anderson Primary School,TRUE
150 ANG MO KIO AVE 5,1.376806785,103.842018,Yio Chu Kang MRT,932,Jubilee Square,1204,Anderson Primary School,TRUE
447 ANG MO KIO AVE 10,1.367479014,103.8559671,Ang Mo Kio MRT,990,AMK Hub,1138,Teck Ghee Primary School,TRUE
218 ANG MO KIO AVE 1,1.365119086,103.8417425,Mayflower MRT,1161,AMK Hub,1146,Teck Ghee Primary School,FALSE
571 ANG MO KIO AVE 3,1.370055013,103.8548806,Ang Mo Kio MRT,675,AMK Hub,839,Jing Shan Primary School,TRUE
534 ANG MO KIO AVE 10,1.374058463,103.8541682,Ang Mo Kio MRT,1095,Jubilee Square,1157,Jing Shan Primary School,TRUE
233 ANG MO KIO AVE 3,1.36754925,103.8367406,Mayflower MRT,522,Jubilee Square,1768,CHIJ St. Nicholas Girls' School,TRUE
235 ANG MO KIO AVE 3,1.366823609,103.8364912,Mayflower MRT,624,AMK Hub,1706,CHIJ St. Nicholas Girls' School,TRUE
219 ANG MO KIO AVE 1,1.36598198,103.840654,Mayflower MRT,926,AMK Hub,1230,Ai Tong School,FALSE
536 ANG MO KIO AVE 10,1.374473785,103.8541005,Ang Mo Kio MRT,1250,Jubilee Square,1313,Jing Shan Primary School,TRUE
230 ANG MO KIO AVE 3,1.368854452,103.8378964,Mayflower MRT,379,Jubilee Square,1555,CHIJ St. Nicholas Girls' School,TRUE
570 ANG MO KIO AVE 3,1.369743586,103.8560231,Ang Mo Kio MRT,808,AMK Hub,972,Jing Shan Primary School,TRUE
624 ANG MO KIO AVE 4,1.381561712,103.8400023,Yio Chu Kang MRT,807,Jubilee Square,1811,Anderson Primary School,TRUE
441 ANG MO KIO AVE 10,1.366050278,103.8541683,Ang Mo Kio MRT,951,AMK Hub,1091,Teck Ghee Primary School,TRUE
625 ANG MO KIO AVE 9,1.382198677,103.8412115,Yio Chu Kang MRT,733,Jubilee Square,1755,Anderson Primary School,TRUE
119 ANG MO KIO AVE 3,1.369563443,103.8446989,Ang Mo Kio MRT,706,AMK Hub,554,Teck Ghee Primary School,TRUE
255 ANG MO KIO AVE 4,1.370654871,103.8346302,Mayflower MRT,407,Jubilee Square,1961,CHIJ St. Nicholas Girls' School,TRUE
432 ANG MO KIO AVE 10,1.36830997,103.8536003,Ang Mo Kio MRT,663,AMK Hub,811,Teck Ghee Primary School,TRUE
211 ANG MO KIO AVE 3,1.369196966,103.8416666,Mayflower MRT,813,Jubilee Square,1040,CHIJ St. Nicholas Girls' School,TRUE
584 ANG MO KIO AVE 3,1.37071308,103.8534978,Ang Mo Kio MRT,594,AMK Hub,759,Jing Shan Primary School,TRUE
118 ANG MO KIO AVE 4,1.373295936,103.8354757,Mayflower MRT,315,Jubilee Square,1752,CHIJ St. Nicholas Girls' School,TRUE
333 ANG MO KIO AVE 1,1.361342556,103.8516986,Ang Mo Kio MRT,1215,AMK Hub,1290,Teck Ghee Primary School,TRUE
256 ANG MO KIO AVE 4,1.370615176,103.8359677,Mayflower MRT,211,Jubilee Square,1770,CHIJ St. Nicholas Girls' School,TRUE
330 ANG MO KIO AVE 1,1.362431864,103.8510307,Ang Mo Kio MRT,1122,AMK Hub,1183,Teck Ghee Primary School,TRUE
557 ANG MO KIO AVE 10,1.371625702,103.8577361,Ang Mo Kio MRT,1336,AMK Hub,1500,Jing Shan Primary School,TRUE
302 ANG MO KIO AVE 3,1.367089832,103.8456602,Ang Mo Kio MRT,897,AMK Hub,731,Teck Ghee Primary School,TRUE
575 ANG MO KIO AVE 10,1.371388551,103.8559533,Ang Mo Kio MRT,1002,AMK Hub,1166,Jing Shan Primary School,TRUE
509 ANG MO KIO AVE 8,1.374000865,103.8501398,Ang Mo Kio MRT,724,Jubilee Square,685,Jing Shan Primary School,TRUE
472 ANG MO KIO AVE 10,1.363143927,103.8581186,Ang Mo Kio MRT,1535,AMK Hub,1675,Teck Ghee Primary School,TRUE
475 ANG MO KIO AVE 10,1.362662978,103.8565159,Ang Mo Kio MRT,1361,AMK Hub,1501,Teck Ghee Primary School,TRUE
629 ANG MO KIO AVE 4,1.38010475,103.8404087,Yio Chu Kang MRT,923,Jubilee Square,1745,Anderson Primary School,TRUE
546 ANG MO KIO AVE 10,1.373651239,103.8570222,Ang Mo Kio MRT,1259,Jubilee Square,1468,Jing Shan Primary School,TRUE
131 ANG MO KIO AVE 3,1.371015364,103.8418003,Mayflower MRT,936,Jubilee Square,875,CHIJ St. Nicholas Girls' School,TRUE
254 ANG MO KIO AVE 4,1.37020344,103.8346877,Mayflower MRT,365,Jubilee Square,1919,CHIJ St. Nicholas Girls' School,TRUE
470 ANG MO KIO AVE 10,1.3640862,103.8566924,Ang Mo Kio MRT,1206,AMK Hub,1346,Teck Ghee Primary School,TRUE
463 ANG MO KIO AVE 10,1.366947935,103.8574876,Ang Mo Kio MRT,1236,AMK Hub,1384,Teck Ghee Primary School,TRUE
207 ANG MO KIO AVE 1,1.365820895,103.8428478,Ang Mo Kio MRT,1213,AMK Hub,1061,Teck Ghee Primary School,TRUE
304 ANG MO KIO AVE 1,1.366286428,103.8449948,Ang Mo Kio MRT,929,AMK Hub,770,Teck Ghee Primary School,TRUE
646 ANG MO KIO AVE 6,1.379395177,103.8437636,Yio Chu Kang MRT,412,Jubilee Square,1204,Anderson Primary School,TRUE
328 ANG MO KIO AVE 3,1.366617937,103.8478669,Ang Mo Kio MRT,615,AMK Hub,449,Teck Ghee Primary School,TRUE
588C ANG MO KIO ST 52,1.37183157,103.853671,Ang Mo Kio MRT,898,AMK Hub,1062,Jing Shan Primary School,TRUE
588D ANG MO KIO ST 52,1.371754007,103.8538833,Ang Mo Kio MRT,873,AMK Hub,1038,Jing Shan Primary School,TRUE
